placement,capacity,decode_steps_requested,scaleout_gbps,storage_read_gbps,count
lazarus,16,128,100.0,14.0,1
lazarus,16,128,100.0,25.0,1
lazarus,16,128,100.0,3.5,1
lazarus,16,128,100.0,50.0,1
lazarus,16,128,100.0,7.0,1
lazarus,16,128,200.0,14.0,1
lazarus,16,128,200.0,25.0,1
lazarus,16,128,200.0,3.5,1
lazarus,16,128,200.0,50.0,1
lazarus,16,128,200.0,7.0,1
lazarus,16,128,400.0,14.0,1
lazarus,16,128,400.0,25.0,1
lazarus,16,128,400.0,3.5,1
lazarus,16,128,400.0,50.0,1
lazarus,16,128,400.0,7.0,1
lazarus,16,128,800.0,14.0,1
lazarus,16,128,800.0,25.0,1
lazarus,16,128,800.0,3.5,1
lazarus,16,128,800.0,50.0,1
lazarus,16,128,800.0,7.0,1
lazarus,16,16,100.0,14.0,1
lazarus,16,16,100.0,25.0,1
lazarus,16,16,100.0,3.5,1
lazarus,16,16,100.0,50.0,1
lazarus,16,16,100.0,7.0,1
lazarus,16,16,200.0,14.0,1
lazarus,16,16,200.0,25.0,1
lazarus,16,16,200.0,3.5,1
lazarus,16,16,200.0,50.0,1
lazarus,16,16,200.0,7.0,1
lazarus,16,16,400.0,14.0,1
lazarus,16,16,400.0,25.0,1
lazarus,16,16,400.0,3.5,1
lazarus,16,16,400.0,50.0,1
lazarus,16,16,400.0,7.0,1
lazarus,16,16,800.0,14.0,1
lazarus,16,16,800.0,25.0,1
lazarus,16,16,800.0,3.5,1
lazarus,16,16,800.0,50.0,1
lazarus,16,16,800.0,7.0,1
lazarus,16,32,100.0,14.0,1
lazarus,16,32,100.0,25.0,1
lazarus,16,32,100.0,3.5,1
lazarus,16,32,100.0,50.0,1
lazarus,16,32,100.0,7.0,1
lazarus,16,32,200.0,14.0,1
lazarus,16,32,200.0,25.0,1
lazarus,16,32,200.0,3.5,1
lazarus,16,32,200.0,50.0,1
lazarus,16,32,200.0,7.0,1
lazarus,16,32,400.0,14.0,1
lazarus,16,32,400.0,25.0,1
lazarus,16,32,400.0,3.5,1
lazarus,16,32,400.0,50.0,1
lazarus,16,32,400.0,7.0,1
lazarus,16,32,800.0,14.0,1
lazarus,16,32,800.0,25.0,1
lazarus,16,32,800.0,3.5,1
lazarus,16,32,800.0,50.0,1
lazarus,16,32,800.0,7.0,1
lazarus,16,64,100.0,14.0,1
lazarus,16,64,100.0,25.0,1
lazarus,16,64,100.0,3.5,1
lazarus,16,64,100.0,50.0,1
lazarus,16,64,100.0,7.0,1
lazarus,16,64,200.0,14.0,1
lazarus,16,64,200.0,25.0,1
lazarus,16,64,200.0,3.5,1
lazarus,16,64,200.0,50.0,1
lazarus,16,64,200.0,7.0,1
lazarus,16,64,400.0,14.0,1
lazarus,16,64,400.0,25.0,1
lazarus,16,64,400.0,3.5,1
lazarus,16,64,400.0,50.0,1
lazarus,16,64,400.0,7.0,1
lazarus,16,64,800.0,14.0,1
lazarus,16,64,800.0,25.0,1
lazarus,16,64,800.0,3.5,1
lazarus,16,64,800.0,50.0,1
lazarus,16,64,800.0,7.0,1
lazarus,24,128,100.0,14.0,1
lazarus,24,128,100.0,25.0,1
lazarus,24,128,100.0,3.5,1
lazarus,24,128,100.0,50.0,1
lazarus,24,128,100.0,7.0,1
lazarus,24,128,200.0,14.0,1
lazarus,24,128,200.0,25.0,1
lazarus,24,128,200.0,3.5,1
lazarus,24,128,200.0,50.0,1
lazarus,24,128,200.0,7.0,1
lazarus,24,128,400.0,14.0,1
lazarus,24,128,400.0,25.0,1
lazarus,24,128,400.0,3.5,1
lazarus,24,128,400.0,50.0,1
lazarus,24,128,400.0,7.0,1
lazarus,24,128,800.0,14.0,1
lazarus,24,128,800.0,25.0,1
lazarus,24,128,800.0,3.5,1
lazarus,24,128,800.0,50.0,1
lazarus,24,128,800.0,7.0,1
