experiment_id,scenario_id,scenario_label,strategy_id,strategy_label,strategy_group,replication_strategy,capacity_per_rank_per_layer,average_replicas_per_expert,initial_replication_us,migration_network_us,cold_start_storage_us,all2allv_us,total_steady_state_us,total_including_initialization_us,initial_replication_bytes,network_repair_bytes,all2allv_bytes,cold_start_bytes,speedup_vs_control_steady,speedup_vs_control_total_including_init,steady_state_delta_vs_control_us,cold_start_bytes_avoided_vs_control,ft_tax_steady_ratio,ft_tax_total_including_init_ratio,steps,warnings
no_fail__control_single_owner,no_fail,No failure,control_single_owner,Single-owner control,control,control_single_owner,8,1.000000,0.000000,0.000000,0.000000,8704.596962,8704.596962,8704.596962,0.000000,0.000000,1885102080.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,769,No cold-start byte annotations found in timeline; Toposim will account for network migration matrices only. This is expected if Traffic Gen has not annotated lost-replica experts yet.
no_fail__uniform_fixed_2,no_fail,No failure,uniform_fixed_2,Uniform fixed 2,uniform,uniform,16,2.000000,966367.641600,0.000000,0.000000,7322.594653,7322.594653,973690.236253,1352914698240.000000,0.000000,1760317440.000000,0.000000,1.188731,0.008940,-1382.002308,0.000000,1.000000,1.000000,769,No cold-start byte annotations found in timeline; Toposim will account for network migration matrices only. This is expected if Traffic Gen has not annotated lost-replica experts yet.
no_fail__adaptive_mro_avg3,no_fail,No failure,adaptive_mro_avg3,Adaptive MRO avg 3,adaptive_mro,adaptive,24,3.000000,2716385.783878,0.000000,0.000000,11987.558400,11987.558400,2728373.342278,2153691217920.000000,0.000000,1748561920.000000,0.000000,0.726136,0.003190,3282.961438,0.000000,1.000000,1.000000,769,No cold-start byte annotations found in timeline; Toposim will account for network migration matrices only. This is expected if Traffic Gen has not annotated lost-replica experts yet.
no_fail__adaptive_mro_avg4,no_fail,No failure,adaptive_mro_avg4,Adaptive MRO avg 4,adaptive_mro,adaptive,32,4.000000,3488862.615239,0.000000,0.000000,1228.321063,1228.321063,3490090.936302,2892811468800.000000,0.000000,1552261120.000000,0.000000,7.086581,0.002494,-7476.275899,0.000000,1.000000,1.000000,769,No cold-start byte annotations found in timeline; Toposim will account for network migration matrices only. This is expected if Traffic Gen has not annotated lost-replica experts yet.
no_fail__adaptive_mro_avg6,no_fail,No failure,adaptive_mro_avg6,Adaptive MRO avg 6,adaptive_mro,adaptive,48,6.000000,5370386.841600,0.000000,0.000000,856.604116,856.604116,5371243.445716,4352429260800.000000,0.000000,1534279680.000000,0.000000,10.161750,0.001621,-7847.992846,0.000000,1.000000,1.000000,769,No cold-start byte annotations found in timeline; Toposim will account for network migration matrices only. This is expected if Traffic Gen has not annotated lost-replica experts yet.
no_fail__adaptive_mro_avg8,no_fail,No failure,adaptive_mro_avg8,Adaptive MRO avg 8,adaptive_mro,adaptive,64,8.000000,7212525.158400,0.000000,0.000000,798.927644,798.927644,7213324.086044,5798205849600.000000,0.000000,1527490560.000000,0.000000,10.895351,0.001207,-7905.669317,0.000000,1.000000,1.000000,769,No cold-start byte annotations found in timeline; Toposim will account for network migration matrices only. This is expected if Traffic Gen has not annotated lost-replica experts yet.
round_robin_rank_failure__control_single_owner,round_robin_rank_failure,Round-robin rank failure,control_single_owner,Single-owner control,control,control_single_owner,8,1.000000,0.000000,0.000000,247390116.249600,4979.759238,247395096.008837,247395096.008837,0.000000,0.000000,1885102080.000000,773094113280.000000,1.000000,1.000000,0.000000,0.000000,28421.200556,28421.200556,837,
round_robin_rank_failure__uniform_fixed_2,round_robin_rank_failure,Round-robin rank failure,uniform_fixed_2,Uniform fixed 2,uniform,uniform,16,2.000000,966367.641600,30923764.531200,0.000000,7214.471506,30930979.002706,31897346.644306,1352914698240.000000,1546188226560.000000,1760317440.000000,0.000000,7.998295,7.755977,-216464117.006132,773094113280.000000,4224.046321,32.759234,777,No cold-start byte annotations found in timeline; Toposim will account for network migration matrices only. This is expected if Traffic Gen has not annotated lost-replica experts yet.
round_robin_rank_failure__adaptive_mro_avg3,round_robin_rank_failure,Round-robin rank failure,adaptive_mro_avg3,Adaptive MRO avg 3,adaptive_mro,adaptive,24,3.000000,2716385.783878,26610342.297600,0.000000,11993.292800,26622335.590400,29338721.374278,2153691217920.000000,2233466880000.000000,1746472960.000000,0.000000,9.292765,8.432375,-220772760.418437,773094113280.000000,2220.830523,10.753192,777,No cold-start byte annotations found in timeline; Toposim will account for network migration matrices only. This is expected if Traffic Gen has not annotated lost-replica experts yet.
round_robin_rank_failure__adaptive_mro_avg4,round_robin_rank_failure,Round-robin rank failure,adaptive_mro_avg4,Adaptive MRO avg 4,adaptive_mro,adaptive,32,4.000000,3488862.615239,34487245.209600,0.000000,1291.827351,34488537.036951,37977399.652189,2892811468800.000000,2912692469760.000000,1550295040.000000,0.000000,7.173256,6.514272,-212906558.971887,773094113280.000000,28077.786882,10.881493,777,No cold-start byte annotations found in timeline; Toposim will account for network migration matrices only. This is expected if Traffic Gen has not annotated lost-replica experts yet.
